Date,Open,High,Low,Close,Adj Close,Volume,rs,rsi,pul,momentum
2021-09-15 00:00:00,47098,48450.46875,46773.32813,48176.34766,48176.34766,30484496466,,,0.989050134,9295.394531
2021-09-16 00:00:00,48158.90625,48486.82813,47079.55859,47783.35938,47783.35938,31764293754,23.65310869,95.94371642,0.980982168,-392.9882813
2021-09-17 00:00:00,47771.00391,48160.92188,46832.52344,47267.51953,47267.51953,28727713711,20.45578097,95.33925145,0.970392086,-515.8398438
2021-09-18 00:00:00,47273.52734,48791.78125,47087.28516,48278.36328,48278.36328,28575630451,11.34014012,91.8963643,0.991144493,1010.84375
2021-09-19 00:00:00,48268.85547,48328.36719,46919.80469,47260.21875,47260.21875,26967722648,8.022613799,88.91673719,0.970242203,-1018.144531
2021-09-20 00:00:00,47261.40625,47328.19922,42598.91406,42843.80078,42843.80078,43909845642,3.249441471,76.46749563,0.879574084,-4416.417969
2021-09-21 00:00:00,43012.23438,43607.60938,39787.60938,40693.67578,40693.67578,48701090088,3.033560759,75.2080095,0.835432477,-2150.125
2021-09-22 00:00:00,40677.95313,43978.62109,40625.63281,43574.50781,43574.50781,38139709246,2.587674114,72.12678833,0.894575344,2880.832031
2021-09-23 00:00:00,43560.29688,44942.17578,43109.33984,44895.09766,44895.09766,34244064430,2.13510824,68.10317464,0.921686771,1320.589844
2021-09-24 00:00:00,44894.30078,45080.49219,40936.55859,42839.75,42839.75,42839345714,2.062922768,67.3514458,0.879490923,-2055.347656
2021-09-25 00:00:00,42840.89063,42996.25781,41759.92188,42716.59375,42716.59375,31604717236,2.378969154,70.40517523,0.876962551,-123.15625
2021-09-26 00:00:00,42721.62891,43919.30078,40848.46094,43208.53906,43208.53906,30661222077,1.967710759,66.30399385,0.887062084,491.9453125
2021-09-27 00:00:00,43234.18359,44313.24609,42190.63281,42235.73047,42235.73047,30980029059,2.060946584,67.3303675,0.867090531,-972.8085938
2021-09-28 00:00:00,42200.89844,42775.14453,40931.66406,41034.54297,41034.54297,30214940550,2.10176374,67.76027822,0.842430408,-1201.1875
